filename,title,source_url,present
157_30_November_2021__Issue_155_.html,Update: 30 November 2021 (Issue 155),https://uclnews.org.uk/UAA-7N2CL-BEC4BA5133845091UWW3JNB8692F9F8C381453/cr.aspx,yes
158_6_December_2021__Issue_156_.html,Update: 6 December 2021 (Issue 156),https://uclnews.org.uk/UAA-7NFKM-BEC4BA5133845091UWW3JNB8692F9F8C381453/cr.aspx,yes
159_9_December_2021__Issue_157_.html,Update: 9 December 2021 (Issue 157),https://uclnews.org.uk/t/UAA-7NMR4-BEC4BA5133845091UWW3JNB8692F9F8C381453/cr.aspx,yes
160_13_December_2021__Issue_158_.html,Update: 13 December 2021 (Issue 158),https://uclnews.org.uk/UAA-7NS6D-BEC4BA5133845091UWW3JNB8692F9F8C381453/cr.aspx,yes
161_17_December_2021__Issue_159_.html,Update: 17 December 2021 (Issue 159),https://uclnews.org.uk/t/UAA-7O33I-BEC4BA5133845091UWW3JNB8692F9F8C381453/cr.aspx,yes
162_6_January_2022__Issue_160_.html,Update: 6 January 2022 (Issue 160),https://uclnews.org.uk/UAA-7OK3T-BEC4BA5133845091UWW3JNB8692F9F8C381453/cr.aspx,yes
163_20_January_2022__Issue_161_.html,Update: 20 January 2022 (Issue 161),https://uclnews.org.uk/UAA-7PAVV-BEC4BA5133845091UWW3JNB8692F9F8C381453/cr.aspx,yes
164_7_February_2022__Issue_162_.html,Update: 7 February 2022 (Issue 162),https://uclnews.org.uk/UAA-7Q6XY-BEC4BA5133845091UWW3JNB8692F9F8C381453/cr.aspx,yes
165_14_February_2022__Issue_163_.html,Update: 14 February 2022 (Issue 163),https://uclnews.org.uk/UAA-7QJVN-BEC4BA5133845091UWW3JNB8692F9F8C381453/cr.aspx,yes
166_21_February_2022__Issue_164_.html,Update: 21 February 2022 (Issue 164),https://uclnews.org.uk/t/UAA-7QWYG-BEC4BA5133845091UWW3JNB8692F9F8C381453/cr.aspx,yes
167_4_May_2022__Issue_165_.html,Update: 4 May 2022 (Issue 165),https://uclnews.org.uk/UAA-7U8DQ-C86EC44060C3E0D3H748FS5952AA4803060A4F/cr.aspx,yes
